month,specialty,appointment_type,appointments_attended,appointments_attended_routine,appointments_attended_urgent,appointments_attended_2_week_wait,dna,appointments_for_removals,removals
30/04/2023,Urology,RTT First,311,120,59,132,11,291,266
31/12/2023,Cardiology,RTT Follow-up,82,35,47,0,6,57,51
30/11/2024,Respiratory,RTT First,436,325,62,49,41,265,242
31/07/2022,Dermatology,RTT First,1293,398,57,838,59,1165,1154
30/09/2022,Clinical Haematology,RTT First,119,55,26,38,23,103,103
31/05/2024,Colorectal Surgery,RTT First,593,67,58,468,10,911,531
30/09/2022,Breast Surgery,RTT Follow-up,55,14,17,24,2,46,22
28/02/2023,Vascular Surgery,RTT Follow-up,79,60,19,0,8,43,38
31/05/2024,Rheumatology,RTT First,452,383,69,0,50,317,312
31/07/2023,Rheumatology,RTT Follow-up,108,104,4,0,7,28,27
31/03/2023,Urology,Non-RTT,443,250,66,127,93,286,114
31/10/2024,Dermatology,Non-RTT,1265,927,170,168,131,184,128
30/11/2022,ENT,RTT Follow-up,645,394,71,180,87,512,301
28/02/2023,ENT,Non-RTT,786,537,121,128,192,683,372
30/04/2024,Gynaecology,RTT Follow-up,681,390,154,137,64,522,308
31/08/2022,Diabetes,Non-RTT,503,469,34,0,103,184,56
31/07/2022,Respiratory,RTT First,438,283,89,66,39,247,212
31/12/2022,Paediatric ENT,RTT First,121,88,31,2,10,90,90
31/05/2024,Trauma & Orthopaedics,RTT First,633,565,68,0,23,741,663
31/07/2023,Trauma & Orthopaedics,RTT Follow-up,584,510,74,0,71,376,188
31/05/2023,Colorectal Surgery,RTT First,631,78,59,494,20,881,506
31/05/2023,Urology,RTT Follow-up,253,89,47,117,14,184,103
31/07/2024,ENT,Non-RTT,726,485,115,126,127,512,343
30/06/2023,Vascular Surgery,Non-RTT,38,33,5,0,6,25,16
31/10/2023,Diabetes,RTT First,132,104,28,0,27,95,94
28/02/2023,Gynaecology,Non-RTT,811,471,201,139,176,601,279
31/01/2023,Rheumatology,RTT Follow-up,185,170,15,0,18,44,38
31/01/2024,Paediatrics,RTT Follow-up,14,11,3,0,5,28,19
31/12/2022,Colorectal Surgery,RTT First,475,50,81,344,16,926,516
31/05/2023,Gastroenterology,RTT First,503,458,28,17,54,381,321
29/02/2024,General Surgery,RTT Follow-up,462,368,87,7,32,353,195
31/08/2022,Paediatrics,RTT First,337,264,73,0,32,326,320
31/08/2022,Clinical Haematology,RTT First,157,75,28,54,12,152,147
31/05/2023,Paediatric ENT,RTT First,194,163,31,0,26,143,139
31/07/2023,Neurology,RTT First,237,160,62,15,54,224,220
30/09/2024,Diabetes,RTT Follow-up,126,108,18,0,13,23,21
30/06/2024,Neurology,RTT Follow-up,25,16,3,6,3,23,19
28/02/2023,Diabetes,Non-RTT,438,395,43,0,154,192,56
31/08/2023,General Medicine,RTT Follow-up,147,74,67,6,0,128,89
30/06/2022,Clinical Haematology,Non-RTT,830,515,121,194,51,391,114
31/12/2023,Colorectal Surgery,RTT Follow-up,500,59,70,371,8,407,324
31/07/2022,Rheumatology,RTT First,386,345,41,0,53,196,195
31/07/2024,Gynaecology,Non-RTT,637,421,126,90,112,357,254
31/05/2024,Respiratory,RTT First,476,320,78,78,42,363,323
31/10/2023,Trauma & Orthopaedics,Non-RTT,749,697,52,0,133,794,316
30/06/2022,Colorectal Surgery,RTT Follow-up,499,53,58,388,10,398,329
31/12/2023,Paediatric ENT,RTT Follow-up,121,102,19,0,8,66,39
31/05/2023,Respiratory,Non-RTT,518,421,78,19,79,428,174
28/02/2023,General Medicine,RTT First,111,83,6,22,4,226,184
31/10/2023,Respiratory,Non-RTT,517,394,110,13,93,345,162
31/01/2023,Cardiology,RTT Follow-up,113,38,75,0,9,84,65
31/08/2023,Vascular Surgery,RTT First,76,61,15,0,10,107,105
31/12/2023,Rheumatology,RTT Follow-up,142,128,14,0,9,37,33
31/07/2024,General Medicine,RTT First,301,150,81,70,6,390,317
31/10/2024,Respiratory,Non-RTT,584,441,129,14,94,81,60
30/11/2022,Neurology,Non-RTT,674,533,113,28,104,249,143
30/04/2024,Paediatric ENT,RTT Follow-up,227,189,38,0,1,188,101
31/07/2024,Diabetes,Non-RTT,569,513,56,0,142,138,65
30/04/2024,Gastroenterology,RTT Follow-up,135,99,26,10,11,90,73
31/12/2023,Trauma & Orthopaedics,RTT Follow-up,656,577,79,0,70,462,234
31/10/2023,Colorectal Surgery,Non-RTT,144,56,39,49,8,87,44
31/07/2023,ENT,Non-RTT,533,374,82,77,97,599,319
31/10/2024,Gastroenterology,RTT First,464,293,146,25,47,330,287
31/05/2023,Dermatology,Non-RTT,1141,787,146,208,115,761,228
31/12/2022,Gastroenterology,RTT First,351,283,37,31,35,261,226
31/07/2024,Dermatology,RTT Follow-up,340,106,99,135,12,675,491
31/08/2023,Paediatrics,RTT Follow-up,13,8,5,0,1,11,10
31/08/2022,General Medicine,RTT First,82,80,2,0,1,225,210
30/11/2023,Urology,RTT Follow-up,358,157,65,136,24,222,124
31/08/2024,Vascular Surgery,RTT First,93,74,19,0,3,76,75
31/08/2023,Urology,Non-RTT,473,247,63,163,101,367,159
31/12/2023,Neurology,RTT First,236,163,60,13,49,263,256
30/11/2023,Vascular Surgery,Non-RTT,35,28,7,0,9,34,25
30/11/2023,Cardiology,RTT First,444,280,164,0,60,425,396
31/03/2024,Diabetes,RTT Follow-up,75,57,18,0,14,9,8
30/11/2022,Gynaecology,RTT Follow-up,749,342,191,216,88,590,358
31/10/2024,Paediatric ENT,RTT First,360,271,89,0,32,331,330
28/02/2023,Clinical Haematology,RTT First,141,69,25,47,16,99,94
29/02/2024,Vascular Surgery,RTT Follow-up,103,79,24,0,18,100,76
