month,specialty,priority,referrals
2023-01-01,Cardiology,2-week wait,105
2023-01-01,Cardiology,Urgent,147
2023-01-01,Cardiology,Routine,273
2023-01-01,Neurology,2-week wait,105
2023-01-01,Neurology,Urgent,147
2023-01-01,Neurology,Routine,297
2023-01-01,Orthopedics,2-week wait,105
2023-01-01,Orthopedics,Urgent,147
2023-01-01,Orthopedics,Routine,327
2023-01-01,Gastroenterology,2-week wait,105
2023-01-01,Gastroenterology,Urgent,147
2023-01-01,Gastroenterology,Routine,277
2023-01-01,Dermatology,2-week wait,105
2023-01-01,Dermatology,Urgent,147
2023-01-01,Dermatology,Routine,303
2023-02-01,Cardiology,2-week wait,110
2023-02-01,Cardiology,Urgent,144
2023-02-01,Cardiology,Routine,315
2023-02-01,Neurology,2-week wait,110
2023-02-01,Neurology,Urgent,144
2023-02-01,Neurology,Routine,300
2023-02-01,Orthopedics,2-week wait,110
2023-02-01,Orthopedics,Urgent,144
2023-02-01,Orthopedics,Routine,278
2023-02-01,Gastroenterology,2-week wait,110
2023-02-01,Gastroenterology,Urgent,144
2023-02-01,Gastroenterology,Routine,323
2023-02-01,Dermatology,2-week wait,110
2023-02-01,Dermatology,Urgent,144
2023-02-01,Dermatology,Routine,301
2023-03-01,Cardiology,2-week wait,115
2023-03-01,Cardiology,Urgent,141
2023-03-01,Cardiology,Routine,322
2023-03-01,Neurology,2-week wait,115
2023-03-01,Neurology,Urgent,141
2023-03-01,Neurology,Routine,321
2023-03-01,Orthopedics,2-week wait,115
2023-03-01,Orthopedics,Urgent,141
2023-03-01,Orthopedics,Routine,292
2023-03-01,Gastroenterology,2-week wait,115
2023-03-01,Gastroenterology,Urgent,141
2023-03-01,Gastroenterology,Routine,298
2023-03-01,Dermatology,2-week wait,115
2023-03-01,Dermatology,Urgent,141
2023-03-01,Dermatology,Routine,284
2023-04-01,Cardiology,2-week wait,120
2023-04-01,Cardiology,Urgent,138
2023-04-01,Cardiology,Routine,286
2023-04-01,Neurology,2-week wait,120
2023-04-01,Neurology,Urgent,138
2023-04-01,Neurology,Routine,300
2023-04-01,Orthopedics,2-week wait,120
2023-04-01,Orthopedics,Urgent,138
2023-04-01,Orthopedics,Routine,286
2023-04-01,Gastroenterology,2-week wait,120
2023-04-01,Gastroenterology,Urgent,138
2023-04-01,Gastroenterology,Routine,277
2023-04-01,Dermatology,2-week wait,120
2023-04-01,Dermatology,Urgent,138
2023-04-01,Dermatology,Routine,303
2023-05-01,Cardiology,2-week wait,125
2023-05-01,Cardiology,Urgent,135
2023-05-01,Cardiology,Routine,300
2023-05-01,Neurology,2-week wait,125
2023-05-01,Neurology,Urgent,135
2023-05-01,Neurology,Routine,308
2023-05-01,Orthopedics,2-week wait,125
2023-05-01,Orthopedics,Urgent,135
2023-05-01,Orthopedics,Routine,289
2023-05-01,Gastroenterology,2-week wait,125
2023-05-01,Gastroenterology,Urgent,135
2023-05-01,Gastroenterology,Routine,301
2023-05-01,Dermatology,2-week wait,125
2023-05-01,Dermatology,Urgent,135
2023-05-01,Dermatology,Routine,327
2023-06-01,Cardiology,2-week wait,130
2023-06-01,Cardiology,Urgent,132
2023-06-01,Cardiology,Routine,324
2023-06-01,Neurology,2-week wait,130
2023-06-01,Neurology,Urgent,132
2023-06-01,Neurology,Routine,303
2023-06-01,Orthopedics,2-week wait,130
2023-06-01,Orthopedics,Urgent,132
2023-06-01,Orthopedics,Routine,306
2023-06-01,Gastroenterology,2-week wait,130
2023-06-01,Gastroenterology,Urgent,132
2023-06-01,Gastroenterology,Routine,295
2023-06-01,Dermatology,2-week wait,130
2023-06-01,Dermatology,Urgent,132
2023-06-01,Dermatology,Routine,324
2023-07-01,Cardiology,2-week wait,135
2023-07-01,Cardiology,Urgent,129
2023-07-01,Cardiology,Routine,312
2023-07-01,Neurology,2-week wait,135
2023-07-01,Neurology,Urgent,129
2023-07-01,Neurology,Routine,314
2023-07-01,Orthopedics,2-week wait,135
2023-07-01,Orthopedics,Urgent,129
2023-07-01,Orthopedics,Routine,305
2023-07-01,Gastroenterology,2-week wait,135
2023-07-01,Gastroenterology,Urgent,129
2023-07-01,Gastroenterology,Routine,276
2023-07-01,Dermatology,2-week wait,135
2023-07-01,Dermatology,Urgent,129
2023-07-01,Dermatology,Routine,297
2023-08-01,Cardiology,2-week wait,140
2023-08-01,Cardiology,Urgent,126
2023-08-01,Cardiology,Routine,292
2023-08-01,Neurology,2-week wait,140
2023-08-01,Neurology,Urgent,126
